Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Arctostaphylos	x benitoensis		Ericaceae	Ericales	Dilleniidae	Benito's mazanita	ARBE3	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	x campbelliae	Arctostaphylos glandulosa var. campbelliae	Ericaceae	Ericales	Dilleniidae	Campbell manzanita	ARCA33	Shrub	Hardwood	Evergreen	Slow	Long	4
Arctostaphylos	canescens		Ericaceae	Ericales	Dilleniidae	Hoary manzanita	ARCA5	Shrub	Hardwood	Evergreen	Slow	Long	6
Arctostaphylos	catalinae		Ericaceae	Ericales	Dilleniidae	Santa catalina manzanita	ARCA21	Shrub	Hardwood	Evergreen	Slow		15
Arctostaphylos	x cinerea	"Arctostaphylos strigosa, Arctostaphylos intricata var. oblongifolia, Arctostaphylos bracteata, Arctostaphylos oblongifolia"	Ericaceae	Ericales	Dilleniidae	Waldo manzanita	ARCI	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	x coloradensis	"Arctostaphylos nevadensis var. coloradensis, Arctostaphylos uva-ursi ssp. coloradensis"	Ericaceae	Ericales	Dilleniidae	Colorado manzanita	ARCO23	Shrub	Hardwood	Evergreen	Slow		12
Arctostaphylos	columbiana	"Arctostaphylos columbiana var. tracyi, Arctostaphylos tracyi"	Ericaceae	Ericales	Dilleniidae	Hairy manzanita	ARCO3	Shrub or small tree	Hardwood	Evergreen	Slow	Moderate	6
Arctostaphylos	confertiflora	Arctostaphylos subcordata var. confertiflora	Ericaceae	Ericales	Dilleniidae	Santa rosa manzanita	ARCO13	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	cruzensis		Ericaceae	Ericales	Dilleniidae	La cruz manzanita	ARCR6	Shrub	Hardwood	Evergreen	Slow		3
Arctostaphylos	edmundsii	"Arctostaphylos uva-ursi ssp. emundsii, Arctostaphylos uva-ursi var. parvifolia, Arctostaphylos edmundsii var. parvifolia"	Ericaceae	Ericales	Dilleniidae	Little sur manzanita	ARED	Shrub	Hardwood	Evergreen	Slow		2
